div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,2001,4,4,112850.33282,123991.45526,9910.2250299,1983.9629333,2488.1256778,0.0068781716,0.0121955474,0.0163050073,0.0192502395
IV,2002,1,26,118714.41484,6569293.2127,398505.72761,68210.253198,79869.206148,0.0074108247,0.0109673082,0.0146963299,0.0159034457
IV,2002,2,37,1063869.4738,4441764.7524,438814.42606,37834.469206,70220.396812,0.0083407711,0.0122037405,0.0148611101,0.0163777434
IV,2002,3,28,1274781.7489,1167004.0448,249203.91095,53486.026615,22438.929266,0.0047925907,0.0103688595,0.0137208135,0.0151374242
IV,2002,4,5,59805.509872,56046.467058,22773.301785,1931.277581,1394.5061587,0.0068199654,0.0113563981,0.0140526801,0.0155973102
IV,2003,1,12,201998.74837,4008586.9725,465851.78952,59389.815142,59804.785903,0.0043032685,0.0125605431,0.0149525739,0.0232459397
IV,2003,2,59,2929193.7193,7022636.4948,880554.24849,153059.9961,109361.77867,0.0057468876,0.0109496486,0.0147161905,0.0174495936
IV,2003,3,17,721189.83416,38301.990873,27349.30655,22412.590102,4692.1303796,0.0048641713,0.0123573778,0.0140060045,0.014624494
IV,2003,4,2,170723.89474,9982.571601,7848.3032306,4925.2924454,1124.357926,0.0050918971,0.00902834,0.0120705652,0.0142509148
IV,2004,1,26,287505.3569,4266078.8289,542517.07542,53849.955986,60956.144724,0.0089266902,0.0116520128,0.0143002901,0.0170822238
IV,2004,2,43,26022248.459,3600194.105,201228.85332,40225.697921,149527.36697,0.0042083614,0.0101222638,0.0145930297,0.0158235664
IV,2004,3,24,5273983.9127,279055.33314,38072.991528,12638.335634,19613.22875,0.0030790276,0.0099366974,0.0114851033,0.013002203
IV,2004,4,13,1562797.4867,48359.196004,2467.6300765,1551.3610271,7556.8167087,0.0044988803,0.0099042979,0.0111083824,0.0126357479
IV,2005,1,77,117386.1409,12858119.447,319643.76769,66194.878909,131204.779,0.0076630641,0.0097119737,0.0134626908,0.0164753866
IV,2005,2,56,953641.63597,7839583.0896,189261.87287,15030.607782,89625.175539,0.0066972648,0.0103093814,0.0116090278,0.0146179791
IV,2005,3,56,1264039.2522,5289155.2459,185539.45403,28381.239908,52474.177773,0.0055958437,0.008099818,0.0115790296,0.0144902022
IV,2005,4,2,33357.552033,56569.959322,3151.9221178,668.08895428,708.60035771,0.0049551715,0.0087859147,0.0117464513,0.0138682551
